,Summoner ID
65,l2_tAnF07DC4whsLk_Lw2fDd0UCIypCVDWQvNx8OaRWknzS6
66,OLkREEcKdJ8V3E_LcFsPYZRVEI3CDImp0ZufSeoHy__dbpnU
67,SBbHxBu48mNaGXItDpYzQfixjmRNX8RfjUwiTvL9ux7vdZDF
68,XJW9Kt1x21jpXS-E6B7cYBxihSeaWhxpwxeIMr08OhLA3hcq
69,-oMacvIVb5cbn1kjpe-Cq3j28xyq9Wr0TXQIipbkPJeN1Zt5
70,OctjjB3WFgAW4IuptfGbhhNeqNOTrv-4W9ORGGPju4C9ktuD
71,Aj7eJbYfl-JIV_v5o50weteV-sKtt406NMvBe7v9hX81cmMC
72,dEKE9ynBwi6aJKAINzl7KnA-s9Cmq0Brf0h7fX3Hd9Wp7F_T
73,md5XSwKZeEoYBAMmeP9aJ6mN5ENhqBsDACnKGo1GTS0R3Bwa
74,MIQSQxr8LnNsgD5_kpwp4Uo6j6pM3qQk5N4B-yw92v0Jy_w3
75,uvS43QA1qPGaenO3dTU7W9rC4Msx2ykRJ2SAbgQOUGj7zzkR
76,vSMqyGsd5HnCfCu-wCNdJKJV4i019PxGf6vlhcUhNJcL8i-i
77,3yO8vQJhgR0QQ4yohgczNhCFkjnevGK8_Fr4RpY9pN-ddM0X
78,v_d2rYrDTRENA16Y5cyW35GqutQ40_ylYCRUCrRoNP88j5Ek
79,xyd4Yo4wOk78eNU2wVMjyHvwIEc40G3IO1DdTpQO-TPgBYk1
80,6QW9ENY9XcYqLjXLPP5uoDldKFCgsaDSdbmq6x_Pj5TbQZ3p
81,RfA2nXVlOb1_26rSH_ZJhDE8QacLfmTvyvCn1n9rXf6RZknc
82,e0YQ22Ly8JjUlqvCsBr-tepPE15gUmVPXFN6SezOuUImkK4p
83,FWHSA0P_4I7JZ4BiGcGuTktMOG5BHdVWY2gsPNZjSoy8f8XM
84,KJv97ZvRlqFncL5OOciGzF5RPl17Co1YsGcrqopGFnoE1qmb
85,nk9XER3kqwEr2MnTYZIzjgCnppH5RqMOlW79KEzlnZAkz1sj
86,fWvk4QrDAX5jhlsrRZjQnQT85GJWZkG65nxnR9IV5ijRrn1H
87,7UwI6Vix_zayiLKXYMsjVNY-RdyLoGN68cF1GUIuz9738ozt
88,a_JzHkjFqq5otUBfouCsIOGU6uVbx2f0MASErMvUp2FwSR6w
89,wpCSA5dC-yDt6YdxNrjPE3b1eC_tDNrvj2ll0k9bgaPj8ImB
90,iWRoH0LKWrWa8VbqSm97RPy-t_o9PHJJ6UUdMmvQM3XLeH2N
91,1wus-BPOhCoTJQU_Aw3MOMlJy4TPpXHuWIXw1vcK99YMO6ip
92,5wzBSNRTbhpSIxAvpdXNzjnqSg-NMZf0ZdYbixDfwXD37Uwx
93,FpnDF7aNh5AhzB8mwlat04gjwc5VWR4g3G2rpOSO-dDPKEsq
94,MAdeg9bKS2FQQ3M8SKJg3HV7O1m9GeCf5G60BuWyEKffjjth
95,xwwmFA-BHEXSNqEr5prsE0h2ZaeSqu2bk6pPVV7ZQEWEOeax
96,dXut0TV7-bZmHNpkpC83K5Y3zxAv6cuInw9TP4w1xfrYDqAp
97,5_bJvm2mSjyhQGAHipAVXAR5mLSNpbPkBRH2GW3dFcgs7F0H
98,6z-kUtKsClGK-VR8ekFQ4YhYqfmih2nK76XK21Ul5iQiiKG9
99,gawiDyTCNaNiER__imlCSFLDad1oMwsLu8ooAPxtwb8MwEc4
100,fbYSwMMVioMk6oipx3vXKLbyW5N3GGYqN_Ls1cNcqzxtRfDp
101,zqc4C0YD5NCagnuP-kEEteZFGUaqWPB7VGRi6a1Ls9G3
102,TR-YywTwL5T-K70O8vDxle3AnQuqwMrXwMDtvqb6lXIyNyGV
103,YweUC62Tln48Ksi0UR-PK5DUh3Zlp-V6tO7edG0SrUDnFi7R
104,ZeVPKYwTEIrmFixqEn_CtgnzGAmQZzuyc1Nu3nTWN04v-t9N
105,Aiqv0-SEDUOoLwrvtldOOS8POpOuCuyPLHXxs0q1Ud5bqcC-
106,6kdGGN24Ja17coDSs6ZBgfhJQkifFmLyxxhnZCryDeTEM7-w
107,5XsniYIVUtYkfVVTBHkr4m9YFRain4ofxOEbkBPmvpNY92yv
108,7qE5TWy5Kv6hzUeIZ0TYnCTLfB6PleLXMsnrv2wuAr6LY1ED
109,Mt2nu38wE8-mlHPokUIBMNgaGV9jFY-8ZlUrFYPsQvl1gZH_
110,iA62eielp8i2I67hgU8vi4MbRcMMZJozY5ZHqMWLcwQVZVET
111,QakFj78LBj_gI4_3_e8EkogO9TPJo4juUvIP45DbaRI99LA4
112,Neh7Z2Erl1JrUvICbc6s8peQwUg7S50Xzun1hTMqZsQjgncP
113,C6AKl5Ur_wmdHtjZKrynZPIRuwUFsrkhboPYa7NlYsAuYWdr
114,mAx024zS5otnR-18_NlBYuD_2RtWTRA90SaRwNaysmr3GgFo
115,awIcWFQ5_oCv7_1vjq386_nP8nrMPxnG0mctCbl9BKqacIVY
116,dXfKhG5bJxDPpEhrNdINu1YDxxFQvvm9WqDMrkIBpHsUgS9j
117,P4r1trERX2C4I9wAPJdtg5W-w8mSj3UrPb0SEsGBwEMcKCS8
118,D6XV9YZEPaVCio4nSQWPW5KkcOrrf32jehiyQE0yeU79gs2w
119,3F5XB0oMQZuH04hSbVCeRwAaoLq7MaP0nczP_OXdIbZNTNju
120,jRMFvzBDpS4A_vcx4sMRi4kCwk_NrDmZmzSx-LKvMQW5C2Rs
121,tfXlcOKQVBIJ8lniw7s7yoA2xiEXgTeITuzaYLykJmP2id51
122,OiPuCak6Hbbs_-LlyLB55uIeIKF-9VCsWApni4u4lfPOa0pm
123,pSglNxeRkbj4CCU953gQNlsSCm18WyOpyJZWYNQFmbeIs1T6
124,m4TdAgxOpQkfUDbAZh79FwZEL1uMFvqAqfvs5Cm_MAA_6OBJ
125,1Q1p7hpC11iwDWsatJD-_6o_py8b9dnNHHniTv4sj85AfG2u
126,5i5wHDTPnBAuYZbPdEu92xaQ-xXcGue70noxSlFm6SptRzEz
127,yQ-g-6mgvKiv7ox-jtE_6n7SljNRNuGtuNW90hcUyHwfuuNY
128,CkFu23MOEj5lGkXBSF1R3Tjv5m_ukBWKK3TBjswweL6zMIU7
129,6BS2z71caqAny2xVasS6oer5123zwTtrVgNL7AzVSPEx3G5P
